200 32 25 25 50

+1.6344726121395801e+00 +8.0820568925016005e+01 +6.4742519668252100e+02 +4.5198128059195897e+03
+2.7745246301694798e-01 -3.6338472652280700e+00 +4.2483738380629097e+02 -3.2380031414462601e+03
+1.3967837049812999e+00 +1.1025330287164900e+02 +4.0446903045177601e+02 +5.6356831522583398e+03
+1.9162595275742600e+00 +7.7183554727487902e+01 +1.0778068424506300e+03 +1.2771299555918299e+03

-5.5614734441155400e-01 +5.5857618190790701e+00 -1.4389784257036899e+00 +1.5439922229825301e-01
-6.1364313624643596e-01 +7.0937615716450004e+00 -2.5625768072726598e+00 +3.8091606991470200e-01
-4.3571355674469697e-01 +7.0338511770720400e+00 -2.5797390896484700e+00 +3.8596832206412401e-01
-1.7029608553672601e-01 +6.8233376476764001e+00 -2.5790421259706702e+00 +4.0630618755226200e-01
-1.6314175504777799e+00 +8.5991450458440895e+00 -3.1820919565512198e+00 +4.4423851350549998e-01
+4.6005157080048704e+00 -5.4003208529568303e-01 +8.5513035321902497e-01 +0.0000000000000000e+00
+9.4082689487467999e+00 -7.9691217397835299e+00 +4.8516824797518900e+00 -8.1115090363635300e-01

-4.0781290036031598e-01 +1.1764984066097099e+00 -3.7140245348580497e-01 +7.3007983364033704e-02
-2.8363274533176899e+01 +5.7041536139084201e+01 -3.6566258100714300e+01 +7.8158505637065696e+00
+4.7491809122705902e+01 -8.4257843756870201e+01 +4.9812710094028397e+01 -9.3534661706207807e+00
+3.2959255387676897e+01 -5.9553041991737402e+01 +3.6004379463481399e+01 -6.8135253011463899e+00
+3.2797161285177403e+01 -7.1099543825875202e+01 +5.2995767277511099e+01 -1.2581559668815700e+01
+0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00

-1.1098617954291501e+00 +1.6540489778681400e+00 -1.1358160020622200e-01 -8.0208628133095401e-04
-3.4986215005689197e-01 +6.4568317289201005e-01 +3.2298409989025501e-01 -6.2113605055823397e-02
-1.4284343526545999e+00 +1.9377303502134899e+00 -2.2521510620230101e-01 +1.7856134098859701e-02

-3.4861391642415001e+00 +6.6770380828128300e+00 -3.8708549839379001e+00 +7.5428486976945797e-01
-2.2840763315440502e+00 +4.6332116674252903e+00 -3.0513240420004699e+00 +6.5614670163898803e-01
+2.5365818457826100e-01 -3.1987062013344703e-01 +1.7212477948617100e-01 -3.6005647942383097e-02

-2.0619692297690001e+01 +4.0829874281527601e+01 -2.6297681446715000e+01 +5.5811213310374299e+00
-8.8094162359708406e+01 +1.7415871477604799e+02 -1.1278826137923301e+02 +2.4028273095238301e+01
+7.4710711322475798e-01 -5.7484789411537895e-01 -3.6269136919935602e-01 +2.3812980651136201e-01
-3.9634658213452600e+00 +7.5269216522075899e+00 -4.7284504609807598e+00 +9.6180961198775605e-01


+1.1308105116894800e-01 -8.4202136305208297e-01
+6.5235526665537602e-01 +6.8451319649300901e-02

+1.1647433333333299e+00 +1.5475626666666699e+02 +0.0000000000000000e+00 +0.0000000000000000e+00
+5.1362833333333302e-01 -3.8516053333333303e+01 +0.0000000000000000e+00 +0.0000000000000000e+00
+1.7800533333333299e+00 +5.3393066666666698e+01 +0.0000000000000000e+00 +0.0000000000000000e+00
+1.6815500000000001e+00 +1.1643519999999999e+02 +0.0000000000000000e+00 +0.0000000000000000e+00

+1.9689328380602000e+00 +2.5530151859575398e+00 -2.4230002401773201e-01 +0.0000000000000000e+00
+5.5307975121822501e+00 +3.6742746894653601e-02 +2.1431474092310099e-01 +0.0000000000000000e+00
+6.6375802294294397e+00 -7.9946925817241998e-01 +3.7175402874297497e-01 +0.0000000000000000e+00
+4.7479755048058898e+00 +7.0031233652103397e-01 +8.4993158673068003e-02 +0.0000000000000000e+00
+4.9739628897335999e+00 +3.5305180162389699e-01 +1.8142430864251399e-01 +0.0000000000000000e+00
+7.2113267256006104e+00 -1.2859084229934099e+00 +4.8135569739280398e-01 +0.0000000000000000e+00

-3.4252838804015201e-01 +7.7760611495901200e-01 -4.3169726918857503e-02 +0.0000000000000000e+00
+2.5983691805557800e+00 +4.5203066406741599e-01 +0.0000000000000000e+00 +0.0000000000000000e+00
+2.7755358066250602e+00 +3.7999392046058600e-01 +0.0000000000000000e+00 +0.0000000000000000e+00
+2.7755358066250602e+00 +3.7999392046058600e-01 +0.0000000000000000e+00 +0.0000000000000000e+00
+0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00

-1.0603420298877499e+00 +1.6117006635903299e+00 -1.0640868247045200e-01 +0.0000000000000000e+00
-3.8932133318135798e-01 +1.1195182274140700e+00 -2.1140259043923599e-02 +0.0000000000000000e+00
-5.6795802280771102e-01 +1.2232313395035801e+00 -3.8975801609652999e-02 +0.0000000000000000e+00
